FacultyArea,InstitutionType,ReviewText,AverageRating,Sentiment
Kimya,lise,"İnanılmaz derecede kabiliyetli, sevecen bir hocamız. Ders anlatışı süper.",5.0,1.0
Kimya,lise,Çok iyi hocadır fakat sınavları zordur.,4.4,1.0
Elektrik Elektronik Teknolojisi,lise,"Dersler akıcı işlenir, PLC yüksek seviyede işlenir ve sınavlar ise epey zordur. Üniversiteden soru göstermeye gelen mühendis ve meslek öğretmeni adaylarının soruları çerez gelir hepimize.",3.6,1.0
Kimya,lise,"Çok iyi biri, çok iyi insan. Okulumuzda 100  öğretmen var fakat hiçbiri Memduha hocamın yerini tutamaz. Onu çok seviyorum. Ders anlatma tarzınıza hayranım. Anlatırkenki el kol hareketleriniz ile yüz ifadenize hayranım. İyi ki öğretmenimizsiniz. Sizi çok seviyoruz.",5.0,1.0
Bilişim Teknolojileri,lise,Çok süper bir hocamızdır. 10 numara 5 yıldız en az.,4.4,1.0
Felsefe,lise,On numara hoca ama dersler çok sıkıcı.,3.2,
Türk Dili ve Edebiyatı,lise,Adem Hoca kraldır.,4.6,1.0
Fen Edebiyat Fakültesi,üniversite,Öğrencilerinin çoğu mezun olduktan sonra bunların elini öpmeye gitmez. Özduran fizikten falan anlamıyor. Nasıl hoca olmuş muamma.,1.6,0.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Entellektüel birikimi olarak saygı duyduğum hocamız. Lakin öğrencilerin boşluğundan olsa gerek, soru sormadıkça çok paylaşımda bulunma ihtiyacı hissetmiyor. Sınavlarında çok zorlamaz, çıkmış soruları mevcuttur zaten ışıkta. Bir gün gidip yanına 'biz sistemden soru soramıyoruz siz anlatın' diyebilirim.",3.3,
Biyoloji,lise,"İsmi gibi ışık saçan, melek gibi bir öğretmendir. Üç sene boyunca dersimize girdi ve gerek eğitimci kişiliği gerekse narinliğiyle çok severim kendisini. Güzel insan...",4.6,1.0
Tarih,lise,Tarihi zaten çok severim ama hocamızın eğlenceli ve canlı anlatımıyla bu ders daha da hoş bir hale geliyor.,4.8,1.0
Türk Dili ve Edebiyatı,lise,Son derece canayakın ve iyi kalpli bir insan. Kesinlikle öğretmen olmak için yaratılmış. Derslerini büyük bir zevkle dinliyorum. Kendisine uzun ve sağlıklı bir ömür diliyorum.,5.0,1.0
Coğrafya,lise,Kaymak gibi adam Fuat Çapa. =D,4.6,1.0
Türk Dili ve Edebiyatı,lise,"İnsan okur, mezun olur, bir aile kurar ve ailesine eğitim hayatından bahseder. Aileme bol bol bahsedebileceğim bir hoca. İyi ki tanıdım.",5.0,1.0
Beden Eğitimi,lise,Süper bir hoca. Allah Milli Eğitim'den razı olsun.,4.6,1.0
Muhasebe ve Finansman,lise,Ona öğretmenlik hayatında başarılar diliyorum. İyi hoca.,2.8,
Muhasebe ve Finansman,lise,"Sınavları çok zor. Bize sayfalarca tanım ezberletiyor.
-Zehra Mustafa Dalgıç T.M.L. öğrenci yönetimi",2.6,
Müzik,lise,Bana bir çok konuda yardımcı oldu. Bana vakit ayırdığı için çok teşekkür ederim.,4.8,1.0
Felsefe,lise,"Süper, 10 numara 5 yıldız. Bir arkadaş gibidir. Çok güzel bir anlatıma sahip. Çok iyi bir hoca gerçekten. Mesleğini hak ediyor.",5.0,1.0
İngilizce,lise,Süper bir hoca. Dersi güzel anlatan bir hoca.,4.0,1.0
Matematik,lise,Hakan Hoca süper bir matematikçi. Gerçekten müthiş. Maşallah. :),4.4,1.0
Türk Dili ve Edebiyatı,lise,Bu hocam sayesinde hayata bakış açım değişti. Çok teşekkürler hocam her şey için.,4.4,1.0
Fizik,lise,Hayatımda gördüğüm en kötü ve bilgisiz hoca. Kısaca ders anlatımı berbat.,1.8,0.0
İngilizce,lise,Gördüğüm en kötü öğretmen.,1.0,0.0
Matematik,lise,"Çok değerli bir matematikçidir. Kıymeti pek bilinmez, çok tecrübelidir. Çoğu matematikçilerin bilmediği ince detayları bilir, ispatlar yapar. Onun dersinde ezberin yanından geçmezsiniz. Hemen hemen her formülü çıkardığı yerler vardır, formül ezberlemez, ezberletmez. Rahat adamdır. Biraz da gariptir işte.",4.0,1.0
Kimya,lise,Sayesinde labaratuvar yüzü gördük. Allah Sibel Hoca'dan razı olsun. Alanında çok başarılı.,5.0,1.0
Tarih,lise,Birisi Sevgi Hoca'ya kesinlikle öğrencileri sevmenin yolunu öğretmeli. Koskoca bir yıllık döneminde güldüğünü görmediğim tek hocadır.,1.8,0.0
Matematik,lise,"Son senenin stresine rağmen yüzümüzü güldürmeyi başarmış, öğrencisine değer veren  hocamız. Öğrencinin halinden anlıyor. AEL'nin döneminden iyi ilk 5 hocadan 3. sırada yer alır benim için. Başarılı hayatının devamını dilerim.",3.8,1.0
Matematik,lise,Çok fazla öğrenci ayrımı yapmak öğrenciyi hocadan uzaklaştırır.,1.6,0.0
Türk Dili ve Edebiyatı,lise,Sert görünmesine aldırmayın. Kesinlikle iyi kalplidir. :),2.8,
Kimya,lise,Lise 2'de tüm sınıfı bırakmaya yemin etmiş ve yeminini tutmuştur. Tebrik ediyorum kendisini. Ayrıca son konuları yetiştiremeyip seneye anlatacağını söylemiş ve anlatmamıştır. Kimya öğretmenliği kendisine göre değil.,1.0,0.0
Biyoloji,lise,Çok mu iyiydi? Hayır. Diğer biyoloji hocalarıyla karşılaştıracaksak AEL'nin en iyisiydi. En azından emeğinizin karşılığını alabilirsiniz.,3.0,
Biyoloji,lise,Lise 1 sağlık dersinde sürekli doğru yanıt vermeme rağmen 60'dan yukarı almayı başaramadığım tek hoca. Kağıtları okurken biraz daha dikkat etmesi gerekiyor. Başkalarını da yakmaz inşallah.,2.0,0.0
Felsefe,lise,"Aaah ah, bize az kafayı takmamıştı. Çok uyurduk bu derste.",1.6,0.0
Kimya,lise,Şule Duymaz'dan sonraki en favori hocamdır gerçekten. Hem yardımsever hem öğrencisini seven hem de ders anlatımı güzel olan AEL'nin sayılı hocalarından biridir.,4.4,1.0
Fizik,lise,Fizik dersi sözel olsaydı alanında çok iyi denilebilirdi.,2.8,
Matematik,lise,Toleranslı ve iyi bir hoca.,3.0,
Matematik,lise,14 yıllık eğitim hayatım boyunca en sevdiğim ve başarılı yanımı en çok ortaya çıkaran hocam olduğu için kendisine minnettarım. Bana matematiği sevdiren ilk hoca oldu ve şu anda ben de matematik okuyorum. Umarım onun gibi çok iyi bir matematik hocası olurum. Teşekkür ederim AEL'nin en iyi hocası.,4.7,1.0
Türk Dili ve Edebiyatı,lise,Bu hocayı edebiyatta tek geçerdim. Hoca benim şiir yorumlamalarımı beğenirdi. Çok da güzel ders anlatırdı.,4.6,1.0
Türk Dili ve Edebiyatı,lise,"Hoca, iyi bir hoca. Güleryüzlü ve iltifattan hoşlanan bir hocadır. Kendisi sevdiğimiz hocalardan birisidir.",4.4,1.0
Türk Dili ve Edebiyatı,lise,Sergüzeşt romanını okutmuş ve yorumlamamızı istemişti. Yani kitap okuma alışkanlığımızın olmasını isteyen bir hocaydı. İyi ve güzel anlatırdı dersini.,4.2,1.0
Matematik,lise,"On numara beş yıldız bir hoca. Yazı tahtasını çok güzel sekilde kullanır, israf etmezdi. Yani sanarsın deftere yazmış. Bir insan bu kadar güzel yazı yazar mı tahtaya? Bir keresinde ortak yazılıdan 100 bekleyen var mı demişti, sadece ben parmak kaldırmıştım. Hoca notları okuduğunda 100 almıştım, aferin demişti.",3.8,1.0
Türk Dili ve Edebiyatı,lise,İyi bir hoca. Efendi ve otoriter.,4.2,1.0
Türk Dili ve Edebiyatı,lise,İyi bir hocaydı.,3.4,
Rehberlik,lise,Çok iyi bir hoca.,4.6,1.0
Matematik,lise,Bu hocanın matematik bildiğinden şüpheliyim.,1.0,0.0
Matematik,lise,İyi bir hocadır.,4.2,1.0
Matematik,lise,Sevmezdim bu hocayı.,1.4,0.0
Matematik,lise,Hocamız çok iyiydi. Sorularını ben cevaplandırırdım. Genellikle dersini çok az dinleyen olurdu. Ben bu açıdan hocaya saygıda kusur etmemişimdir hiçbir zaman. Dersini dinlemişimdir.,4.4,1.0
Kimya,lise,Bence kimyayı en iyi anlatan hoca.,4.0,1.0
Kimya,lise,İyi bir hocamızdı.,4.0,1.0
Fizik,lise,"Hocaların hası, eli öpülesi insan, bana fiziği sevdiren muhteşem bir hoca. Kendisi beni iyi tanır. Bana bir keresinde sümsük demişti. Son sene Murat'ı da efendi çocuğu da kendinize benzettiniz demiştir.",4.6,1.0
Fizik,lise,"Hoca, fiziği de astonomiyi de güzel anlatırdı. Biraz deneyci bir hocaydı. Bu yönünü hep tasvip etmişimdir. Derslerimizin çoğunluğu labaratuvarda geçerdi.",3.8,1.0
Felsefe,lise,Son sene galiba dersimize geldi. Çok iyi bir hoca. Kendisi aslında felsefe grubu hocası. Çok da güzel ders anlatır. Öğrencilerin klasik yazılıdan aldığı notun çoktan seçmeli sınavdan alacağı nota göre daha yüksek olduğu görüşündeydi.,4.8,1.0
Felsefe,lise,Hocamızın mekanı cennet olsun. Çok iyi bir hocaydı. Efendi bir kişiliğe sahipti. Beni de severdi.,4.4,1.0
Din Kültürü ve Ahlak Bilgisi,lise,Aslında müdür yardımcısıdır kendisi.,4.4,1.0
Coğrafya,lise,Biraz sert bir hocaydı.,3.2,
Coğrafya,lise,"Hafize Hoca dersini güzel anlatan bir hoca. Onun sınav taktiği ve stratejisine hayranım. Öyle yoruma dayalı soru sorardı ki, kafada kalırdı konu. Bir keresinde Irak, İran, Suriye'de petrol var da doğuda mı yok, sınırlara kadar mı petrol olmadığını ve doğuda petrol olduğunu anlatmıştı.",4.0,1.0
Biyoloji,lise,Efendi bir hoca. Bir keresinde soruları çalınmıştı ve hoca durumu farketmiş ve sınav sorularını değiştirmişti. Sınav kağıtlarını getirmesi için beni görevlendirdi çünkü benden başka kimseye güveni kalmamıştı. Hocamın beni bu şekilde onore etmesi göğsümü kabartmıştı.,4.0,1.0
Biyoloji,lise,Sağlık dersine girmişti. Kendisi bir dönem ders verdiği için çok tanışma fırsatı olmadı bizimle. Aslında biyoloji hocasıdır. Güzel de anlatır dersini.,4.0,1.0
Biyoloji,lise,Hocamız çok iyi bir insan. Dersi de güzel anlatırdı. Bazen sınıfta bir kaç çıkıntılık yapanlara da dersini verirdi ve bağırırdı. Otoriter birisiydi.,3.8,1.0
Beden Eğitimi,lise,"Trafiği kendisinden başka biri veremezdi.
Bir de hocamız motorlu taşıt trafik sınavından 100 almıştır.",4.8,1.0
Matematik,lise,Çok severim.,4.0,1.0
Matematik,lise,"Bana matematiği sevdiren bir öğretmenimdir. Çok efendi, saygıdeğer bir öğretmendir.",4.8,1.0
İngilizce,lise,"Tek kelime; ""kalite konuşur"". Olmaz böyle şey.",4.15,1.0
Elektrik Elektronik Teknolojisi,lise,Ders işlemekten artık nefret etmiş. Artık emekli olayımda bitsin bu çile der gibi ders işliyor. Dediğinden birşey anlamıyoruz.,1.0,0.0
Tarih,lise,Tarih hocamızdır. Kitabı alır. Bir iki yazı yazdırır. Ondan sonra 66'dan 100'e kadar sorumlusunuz der. Sınavı yapar. 50'den yüksek alan zıplar ve avizeyi patlatır. Anlatımı iyi ve akıcıdır.,4.3,1.0
Elektrik Elektronik Teknolojisi,lise,"Elektronik dersini en rahat işleyebileceğiniz hocalardandır. Yardımcıdır. Gereksiz yere not vermez. Adaletlidir. Herkes hakkına göre not alır. Tertipli, temiz ve terbiyeli bir insandır.",5.0,1.0
Elektrik Elektronik Teknolojisi,lise,"Şu anda Haydarpaşa Endüstri Meslek Lisesi'nde görev yapıyor. Soru soramazsınız. Yapamadığınız yada yardım alacağınız bir devrede ""istersen elektrikçi çağırayım"" diye cevap alabilirsiniz. Adaletin bittiği son nokta.",1.0,0.0
Elektrik Elektronik Teknolojisi,lise,Dersin en az 15 dakikasını telefonla konuşmakla geçirir. Her 5 dakikada bir çay almaya gider. Sürekli yanına diğer öğretmenler gelir.,1.0,0.0
Elektrik Elektronik Teknolojisi,lise,Mesleki gelişim dersime giriyor. Diğer hocaların anlattıkları konularda bile bizlere yardımcı oluyor. Hayatınızda görebileceğiniz en iyi hocalardan biri. Bulunduğu okulda da hiç bir elektrik hocası ile karşılaştırılamaz.,4.8,1.0
Biyoloji,lise,Ders anlatımı harika ama sınavları düşünme istiyor.,4.0,1.0
Coğrafya,lise,Baya iyi.,4.8,1.0
Din Kültürü ve Ahlak Bilgisi,lise,İyi.,2.6,
Yabancı Diller Yüksekokulu,üniversite,"Hz. Yusuf güzelliğinin sirayet ettiği insan, kadirşinas hocamız. Onun rahle-i tedrisinden geçme şansına nail olduğum için ne kadar şükretsem az. Hocamız çok akıcı bir İngilizce'ye sahiptir. Öyle ki Christmas Speech'lerde, İngiliz rical-i devletinden herhangi bir zevata dublaj bile yapabilir.",5.0,1.0
Edebiyat Fakültesi,üniversite,Okulun en kötü hocası olabilir. Derste elindeki notları veya bilgisayarındaki slaytları okur. Soru sorarsanız cevaplamaya çalışır ama pek yetkin bir hoca değil. İyi niyetli ama kesinlikle üniversiteye yakışan bir hoca değil. Garip bir kadın.,2.8,
Edebiyat Fakültesi,üniversite,Okulun en iyi hocalarından. Güzel ders anlatıyor. Öğrenci dostu.,4.7,1.0
Edebiyat Fakültesi,üniversite,"Hakkaniyetli bir hoca, alanında yetkin ama bakış açısı pek bilimsel değil.",3.6,1.0
Edebiyat Fakültesi,üniversite,"Epey çağın gerisinde kaldığını düşünüyorum. Anlattıklarının çoğu da güvenilir değil, fazlasıyla ideolojik, bilimsellik pek yok ama insan olarak çok iyidir, hakkaniyetlidir. Sınavlarında onun fikrine uygun şeyleri yazarsanız yüksek puan alırsınız.",4.8,1.0
Biyoloji,lise,Şu an dersime giren en iyi hocadır. Çok iyi bir ders anlatımı vardır. İşini ciddi bir şekilde yapar.,4.4,1.0
Matematik,lise,"Berbat ders anlatır. Bazen soruları çözemez. Bırak soruyu, bizim anlamamızı kendisi bile anlamaz. Soruyu hızlıca geçer ama sınavları zordur. Kendisi sınavları nasıl okuyor merak ediyorum.",2.5,
Coğrafya,lise,Çok sinir bozucu bir hoca.,2.7,
Fen Fakültesi,üniversite,:),4.4,1.0
Eğitim Fakültesi,üniversite,Çok bilgili fakat bu bilgileri yansıtmakta sıkıntı çeken bir hoca.,2.6,
Eğitim Fakültesi,üniversite,İyi hocadır. Dersleri ağır ama eğlenceli geçer.,4.2,1.0
Eğitim Fakültesi,üniversite,"İletişim adına bulabileceğiniz bütün cevherleri barındıran, harika bir hoca.",5.0,1.0
Eğitim Fakültesi,üniversite,Eğer Mustafa Hoca'dan bir ders alıyorsanız o ders eğlenceli geçecektir.,4.8,1.0
Eğitim Fakültesi,üniversite,Güzel insan. Matematiği iyi anlatır.,3.8,1.0
Eğitim Fakültesi,üniversite,"Slaytları ezberle geç, dersleri öğrenmeden.",2.8,
Biyoloji,lise,Öğrenciyi anlayan mükemmel hocamız.,4.8,1.0
Fizik,lise,Yüzyılın fizikçisi. Fiziği sevdiren adam!,5.0,1.0
Kimya,lise,50 soru ile kimyayı sevdiren insan.,4.4,1.0
Matematik,lise,Geometri anlatışı mükemmel. Hele ders işleme stiline söz yok. :),4.8,1.0
Almanca,lise,Tek kelimeyle mükemmelsiniz. :),4.6,1.0
Din Kültürü ve Ahlak Bilgisi,lise,Mükemmelsiniz hocam. :),4.6,1.0
Matematik,lise,"Hayatım boyunca en sevdiğim, en değer verdiğim öğretmenlerden bir tanesi. O çok iyi bir hoca. :)",5.0,1.0
Matematik,lise,İyi.,4.6,1.0
Mühendislik ve Mimarlık Fakültesi,üniversite,The best instructor that teaches us how to do programming using Matlab 2013 I've ever seen. Thanks a lot instructor.,3.48,
Türk Dili ve Edebiyatı,lise,"İyi bir insan, sevecen yapıda. :D Yazılıları da güzel, orta seviye. :D Görüşlerini beğeniyorum. ;)  Biz memnunuz, seviyoruz kendisini, o kadar. :) Bir de Fuzuli de iyi adam gerçekten. :D",5.0,1.0
Fen Edebiyat Fakültesi,üniversite,Gerçekten çok iyi bir akademisyen. Verdiği bilgiler için çok teşekkür ederim.,5.0,1.0
Beden Eğitimi,lise,"Hocam, bu alemde baba denebilecek çok az sayıda insan var ve siz bizim babamızdın. Çok babalığını gördük her anlamda. İyi ki sizi tanımışım hocam, saygılarımla.",4.8,1.0
Fizik,lise,Okulda kime sorsanız en iyi hoca olarak Ali hocayı söyler. Başka çok iyi hocalarımız da var ama Ali hocamızın yeri ayrıdır.,4.33,1.0
İngilizce,lise,"Hakkınızı helal edin. Çok emek ettiniz. Bir sefer paraya sıkışmıştım okulla ilgili bir durumdu. Bana para verip aramızda kalsın, böyle bir şeyi olmamış say demiştiniz. Hiç unutamam. Adam gibi adamdınız hocam. Arada bizi yumuşattığınız :) da oldu ama sonradan anladık haklı olduğunuzu.",5.0,1.0
İngilizce,lise,"Merhabalar hocam,
ben eski öğrenciniz Vefa. Sizi sonunda buldum.",5.0,1.0
Felsefe,lise,Çok iyi bir öğretmendir Ali Rıza Hoca. Felsefe dersini bize güzel anlatımıyla sevdirmiştir.,5.0,1.0
Matematik,lise,"Okuldan gidince dersin objektifliği, sanırım müdür baskısından, kayboldu gibi. Mesela sınavlar biraz düşük olsa, öğrenci teklif etmeden hocalar kurtarma sınavı derdine düşüyor.",2.2,0.0
Türk Dili ve Edebiyatı,lise,"Testin dersteki zaaflarını gösterir. Okulun en başarılılarından biri. Sorduğu bir soruyu açıklamada iki cümleyi bir araya getiremediğini hisseder, utanır.",4.64,1.0
Meslek Dersleri,lise,Hocam çok hoşsunuz.,3.2,
Türk Dili ve Edebiyatı,lise,"Selamlar sevgili hocam. Yıllardır hep aradım. Sonunda sizi burada buldum.
Günaydın ERKOL",5.0,1.0
Matematik,lise,Çok ödev veriyor. Banu Çiğdem,1.0,0.0
Kimya,lise,Hiç sevmediğim öğretmen. Derste gülümseyerek baksa da not verirken çok düşük veriyor.,2.0,0.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Biz Selo Baba diyoruz. Duruşu, varlığı bizlere güven veriyor. Sayesinde dilimizde bilimsel terimler yer etti. İnsanın belli kalıplara girmeyecek bir varlık olduğunu hocamızın psikoloji bilgisi ile kabul ettim. Daha uzun yıllar millete hizmet etmesi dileğimle saygılarımı sunarım değerli hocama.",4.78,1.0
Fen Edebiyat Fakültesi,üniversite,Çok düzenli ve titiz bir hocamdı. Bölümün nadide hocalarındandı.,4.6,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Bölümün baba hocası. Saygıdeğer bir hocam.,4.47,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Çok güzel bir dönem geçirdik. Eğlenceli bir hocamızdı.,4.78,1.0
Türk Dili ve Edebiyatı,lise,Muhteşem bir hocamdı yıllar önce. :),5.0,1.0
Tarih,lise,Hem eğlendiren hem öğreten bir hocamdı. Unutmayacağım. :),5.0,1.0
Fen Edebiyat Fakültesi,üniversite,"Sütçü İmam Üniversitesi Coğrafya Bölümü'nde hafızamdan silemediğim, model aldığım tek hocam. Şimdiye kadar karşılaşmadığım, bana göre mükemmel bir hocamdı. Buradan saygılarımı sunuyorum.",4.6,1.0
İngilizce,lise,En çok sevdiğim öğretmenlerden birisi.Çok sabırlı ve yardımsever. Benim şu ana kadar gördüğüm en iyi öğretmenlerden birisi aynı zamanda. Çok sinirli bile olsa öğrencisine karşı çok nazık bir insan.,4.6,1.0
Fizik,lise,Çok iyi bir öğretmen.,4.8,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Number one.,4.47,1.0
Meslek Yüksekokulu,üniversite,"Derslerinde hiç bir zaman sıkmayan, dersleri akıcı geçen bir öğretmen. Emekleriniz için teşekkür ederim.",5.0,1.0
Meslek Yüksekokulu,üniversite,Okulu ve dersi sevdiren bir eğitimci. Emekleriniz için teşekkür ederim. :),5.0,1.0
Meslek Yüksekokulu,üniversite,İyi bir eğitimci. Emekleriniz için teşekkür ederim.,5.0,1.0
Meslek Yüksekokulu,üniversite,Gayet iyi bir hoca. Emekleriniz için teşekkür ederim.,5.0,1.0
İngilizce,lise,"Sınıfça hiç beğenmiyoruz, hiç iyi ders anlatamıyor. Öğrencilerine karşı hiç hoşgörülü değil, en ufak hatanızda pişman oluyorsunuz. Hiç tavsiye etmem.",1.0,0.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Tezsiz yüksek lisans Özel Eğitim II. grup olarak bize sağladığınız her türlü kolaylık ve anlayışınız için sonsuz teşekkürler hocam. Allah yolunuzu her daim açık etsin. İnşallah bu kolaylığı ikinci dönem finallerde de göstermeniz dileği ile. :) Saygılarımla.,4.78,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Öğrencilerinin üst düzey becerilerle düşünmesi için çabalayan, ülkemize yakışır bir düşünen, üretken, başarılı insan yetiştirmek için çabalayan hocamız. Derslerinde mutlaka orjinal fikirler olur.  Saygılarımla.",3.2,
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Öğrencilerini sahiplenen, onlara her türlü imkanı oluşturan değerli hocalarımızdan. Alanda ilkleriyle ünlüdür. Öğrenciden beklentileri devamlı 'pushing limits'dir. Saygılarımla.",4.47,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Canayakın, sempatik ve donanımlı bir hocamız. Görünce insanın düğme ilikleyesi gelen, saygıdeğer hocalardan. Bu dönem kendisini biraz üzdük galiba. Telafi etmek icin elimden geleni yapacağım. Saygılar değerli hocam.",3.8,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Farklı bir hocadır. Çabuk parlar ama bir o kadar da çabuk yumuşar. Dersi ve sohbeti keyiflidir.,4.78,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Selahattin Avşaroğlu mükemmel hocalığının yanında iyi bir psikolog. Sınıfın nabzını tutması, sınıf yönetimi, ders içeriğini hayatilik ilkesiyle kaynaştırıp anlaşılırlığı arttırması bakımından eşine az rastlanır bir akademisyen. Ondan ders konusunda da, gündelik hayatımda da çok değerli bilgiler edindim.",4.78,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Özel eğitime bu kadar hakim, ender hocalardan biri. Hocam teşekkürler.",3.8,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Üniversite hayatımda karşılaştığım en değerli hocalarımdan bir tanesi Selahattin Hocam.,4.78,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,"Ben hocama her şey için, emeğine teşekkür  ediyorum. Teferruat hocamın etkili iletişiminde  saklı. Saklı ancak bilmeyen yoktur. :)",4.78,1.0
Ahmet Keleşoğlu Eğitim Fakültesi,üniversite,Dört beşlik hoca.,4.78,1.0
Mühendislik ve Mimarlık Fakültesi,üniversite,"Gerçekten çok bilgili ve neredeyse kusursuz bir hoca. Türkiye standartlarının çok üstünde bir vizyonu, bakış açısı, eğitimi ve eğitim anlayışı vardır. Yardımsever, güleryüzlü ve öğrenci ile ilişkileri muhteşemdir. Saygılarımla.",4.62,1.0
Türk Dili ve Edebiyatı,lise,"Kendisi dünyada eşi benzeri olmayan bir öğretmendir. Soru sorduğunuzda her seferinde büyük bir istekle cevap verir. ""Haydi sor sor"" der önce büyük bir coşkuyla, sonra o konuyla ilgili bütün bildiklerini serer ortaya. (tabi ona ulaşabilirsiniz-mükemmel bir hıza sahiptir tenefüse çıkmada).",5.0,1.0
Türk Dili ve Edebiyatı,lise,Bu kadar.,1.8,0.0
İngilizce,lise,Evet.,3.2,
İngilizce,lise,Böyle.,2.0,0.0
Tarih,lise,Adam gibi adam.,4.6,1.0
Matematik,lise,Şansını çok zorlayan bir hoca.,1.0,0.0
Meslek Dersleri,lise,Harika bir insan.,5.0,1.0
Eğitim Fakültesi,üniversite,Gördüğüm en anlayışlı ve sevecen hoca. Seviyoruz seni hocam. Soyisminiz gibisiniz. İyi ki varsınız.,4.0,1.0
Mühendislik Fakültesi,üniversite,"İnönü pişmanlıktır, sakın gelmeyin. Adamlar az öğrenci mezun edince başarılı olduklarını düşünüyorlar. Zihniyet bu, lanet olsun.",1.0,0.0
Fen Fakültesi,üniversite,"Mülayim duruşuyla gayet sakin dersini anlatır. Anlayan anlar, dinleyen dinler, fazla üstüne düşmez. :) Uykunuz varsa uyuklarsınız ama kötü de anlatmaz. Kulak vermek gerek. Egoist olmayışıyla da sonsuz saygımı kazanmıştır.",3.8,1.0
Fen Fakültesi,üniversite,"Derse öğrenciyi katma isteğinden dolayı bitmek bilmeyen sorularıyla öğrenciyi dersten soğuttuğu doğrudur. Notu da kıttır. Ama öğrencinin başarısızlığına çözüm arayan, en ince detaya kadar sırf anlasın öğrenci diye giren nadide bir hocadır.",3.2,
Tarih,lise,"Hocaların kralıdır. Onun dersine giripte tarihi anlamayan var mıdır çok merak ediyorum. Tarihi yaşarmışcasına anlatması, anlattıklarınıda bire bir sınavında sormasıyla bilinir. Derste otoriteyi sağlamasına gerek kalmaz çünkü herkes ona saygısından ve sevgisinden dersini dikkatli dinler. Çok adaletlidir.",4.5,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Dilek Hoca satış yönetimi hakkında davranıştan giyinişe, konuşmadan duruşa, satışın tüm inceliklerine kadar öğreten bir hocadır. Ödevlerini yapın, derse devam edin. Zaten bir kere girdini zmi derse hep gitmek isteyeceksiniz. Sınavlar azıcık zordur ama çalışırsanız tabi o da kolay.",4.8,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Başta çok ciddi ve disiplinidir. Çok iyi öğretir. Sizi bir yönetici gibi yetiştirir dersleri boyunca. Ödevlerini yapın, derse zamanında gidin. O zaman size çok yardımcı olur. Dersten kolay kolay bırakmaz. Size hayatla ilgili çok şey katacağına eminim.",2.8,
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Çok cici, bilgili, kültürlü, eğitici ve tarz bir hocamızdır. Her hafta ödev ister. Onları kesinlikle yanlış da olsa yapın yoksa finalde 100 de alsanız CC gelebilir. Senem Hoca için ödev sunumları zamanında yapın. Derse verilmesi gereken ilgi alakayı gösterin. Plagiarism yapmayın. Size her zaman yardımcı olur.",4.8,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,Sınavları kitaptan sorar. Derste bir firmanın borsadaki verilerine göre değerini hesaplamınızı isteyen bir proje yaptırır. Not konusunda ne aldıysanız onu verir. Devamsızlıktan ciddi anlamda bırakır. Çalışırsanız AA bile alabilirsiniz ama çalışmak bu ders için önemlidir.,3.1,
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Dersi çok eğlenceli anlatır. Her zaman ulaşabilirsiniz, yardımcı olur. Sınavları genelde test yapar ama hala test midir bilemem. Not konusunda CC en sevdiği nottur. Ama derse iyi devam eder ve sınava iyi çalışırsanız daha iyi bir not ile geçersiniz.",4.6,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Okulumuzun kurucularından olan Ahmet Hoca, bu okulun gelmiş geçmiş en tecrübeli ve bilgili hocalarından biridir. Ondan hiç ders alamadıysanız bu, sizin için ciddi bir kayıptır.  Nur içinde yat canım hocam. Öğrencilerin seni hiçbir zaman unutmayacak.",5.0,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,"Eğer işletme okuyorsanız Atilla Hoca'dan ders almadan mezun olmayın derim. Çok fazla tecrübeli, deneyimli, bilgisi oldukça yüksek, size çok fazla şey katacak bir hocadır. Sınavları zordur ama şirket sunumuna daha çok önem verir. Bir de Globus vardır ama eğlencelidir o da.",4.8,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,Dünyanın en harika hocasıdır diyebilirim. Kendini öğrencilerine adamış. Eğer istekliysen her konuda yardım ve destek sağlar. Not konusunda biraz düşüktür ama dersi gerçek yaşamla bağdaştırarak eğlenceli ve eğitici ders anlatır.,4.6,1.0
