FacultyArea,InstitutionType,AverageRating,Kolaylık,Anlaşılırlık,DersAnlatımı,Erişilebilirlik,Yardımseverlik,ReviewText,Sentiment
Türk Dili ve Edebiyatı,lise,3.4,2,4,3.5,4,3.5,Kötü.,
İngilizce,lise,5.0,5,5,5,5,5,"Merhaba hocam. 2009-2012 arasında öğrenim gördüğüm Yunus Emre Tic. Mes. Lisesi'nde 2010 yılında yılbaşı için sınıfta çekiliş yapmıştınız. 3 kişiye hediye çıkmıştı. O numaralardan biri de bana çıkan 21 idi sanırım. Bir kupa bardağı. Hala saklıyor ve her su içtiğimde sizi hatırlıyorum, yad ediyorum. Her şey için teşekkürler.",1.0
Türk Dili ve Edebiyatı,lise,3.0,5,1,3,1,5,"Yıllardır öğrenciyim böyle hoca görmedim. Kimse anlamıyor. Herkes uyuyor. Arada sırada ""Sssst pısşşşt"" diyor. ""Burası babanın kahvesi mi"" falan diyor. ""Biliyorum çocuklar zaten anlamıyorsunuz bende anlamıyorum"" diyor. Ders sonu ""anlayan var mı"" diye soruyor. Kendisi ""yok"" diyor. Üstüne Johnny Sins'e benziyor.",
Tarih,lise,4.2,3,5,5,3,5,"Okulun en sevilen ve en saygı duyulan insanı. Ders anlatışı bir yana, insaniyeti bir yana, anlayışı bir yana, güldürmesi bir yana. Yaz tatilinde de en çok özlenilen hocadır. İyi ki var. Tarihin kralı. <3",1.0
İngilizce,lise,4.15,4.13,4.73,4.67,2.47,4.73,El öpmeye alışmayın deyip elinizi öptürmezdiniz ama elinizi öpüyorum. Bu yıl bize gelmediniz. Hatırlamazsınız şimdi ama okul bahçesinde derslerin nasıl diye sormuştunuz. Zayıf olanları söylemiştim. Mesaj at bana demiştiniz. Artık bitirdim. Çok sağolun. Ben ellerinizden öpüyorum. Anıl da öpüyor. Saygılar hocam.,1.0
Fen Edebiyat Fakültesi,üniversite,5.0,5,5,5,5,5,"Fazla kibar, anlayışlı, entellektüel, mizahsen bir hocamızdır. Geç de olsa hakkı olan profesörlük ünvanını almayı başarmıştır.  Hemen her konuda bilgi sahibidir. Bilmediği bir konu olunca ''bunu araştıracağım'' der Hakan Hocamız. Öğrencilere de fazlasıyla yardım eder. Sevmeyenler daha tanımamıştır.",1.0
Fen Edebiyat Fakültesi,üniversite,3.0,3,3,3,3,3,"Kocaeli Üniversitesi'nde hala görev yapmakta olan, en basit ifade ile ''Baba'' diye ifade edebildiğim büyük adamdır. Karakter sahibi, yardımsever ve otoriter bir hocamızdır. Ezber yaptırmayan, hayat dersi veren, vicdan ve adalet sahibi, güleryüzlü, esprili, eli öpülesi, ender insanlardandır.",
Tarih,lise,4.33,3.67,4.5,4.17,4.5,4.83,Hocaların birtanesidir. Gerçekten çok kibar bir insandır. Ayrı bir büyüye sahip. Bana göre Ümitköy Anadolu'nun en iyi tarih öğretmeni.,1.0
Teknik Eğitim Fakültesi,üniversite,1.0,1,1,1,1,1,"Gidiş yolunuz, cevaplarınız doğru olsa bile tam puan alamazsınız.",0.0
İngilizce,lise,3.1,4,3,3,2.5,3,"Kendisinin elinden mezun oldum. Bana İngilizce'yi sevdiren, yolumu çizmeme yardımcı olan öğretmendir. Hakkını ödeyemeyiz. :)",
Fizik,lise,4.6,5,3,5,5,5,Okulda en iyi anlaşabileceğiniz hocalarımızdan. Sadece biraz suyuna gitmeniz gerekir. Bütün öğrencileri sever ve dinler. Dersini bölmeyin yeter. En kötü yanı da sınıfta sessizlik hakimken 'Sessiz olun' diye bağırmasıdır.,1.0
Türk Dili ve Edebiyatı,lise,3.6,4,5,4,3,2,"Ödevleri tam bir eziyet ve doğrudan ödevlerde sözlüleri vermektedir. Ders anlatımı idealin üzerinde, yardımsever değil.",1.0
Matematik,lise,3.6,3,3,4,5,3,"Sınavlar ve ödevler zorlayıcıdır ama kontrol etmez. Dersini anlayan iyi, anlamayan hiç anlayamaz. Proje alırsanız sizi sevdiğinden emin olun. Sevdiğine güzel puan vermekte.",1.0
Kimya,lise,3.4,4,2,2,4,5,"Okuldaki bütün kimya öğretmenleri birlikte sınavı hazırlarlar ve sınavlar, ödevler zordur. Yardımsever, 5-10 puanı hiç esirgemez ama ders anlatımı...",
Beden Eğitimi,lise,5.0,5,5,5,5,5,Bu okuldaki bütün beden eğitimi dersleri serbesttir.,1.0
Matematik,lise,2.6,2,4,4,2,1,E-okul'a son gün giriyor notları.,
Tarih,lise,4.33,3.67,4.5,4.17,4.5,4.83,"Ve tanrı kadını yarattı. :D Çok sevdiğim hocadır. Kendisinin dersi zevkli geçer. Gayet iyi, hoş bir hocadır. Sözlüsü boldur.",1.0
İngilizce,lise,4.2,4,5,5,2,5,"Yeşim Hoca çok iyi bir insandır. Dersi gayet iyi anlatır. Sınavda size verdiği bilgilerin tamamını sorabilir. İngilizce aksanı komiktir. Saygısızlığa tahammülü asla yoktur. Sevecen, hoş, komik bir öğretmen. Dersi zevkli geçer ama istediğiniz zaman bulamazsınız.",1.0
Türk Dili ve Edebiyatı,lise,2.6,3,3,2.67,2.33,2,Sizi tamamen üniversiteye hazırlar. Çok yazı yazdırır ama iyi not tutturur. Sınavları orta derecelidir. Derste başarılı ve azimliysen sözlün iyi gelir. Beni severdi ama ayrıldı okuldan.,
Tarih,lise,4.5,2.83,5,5,4.83,4.83,"Mükemmel ötesi bir kadındır. Dersi ondan iyi anlatanı yoktur. Sınavlarını dersi dinleyen, çalışan yapar. Kendisinin düşünceleri beni çok etkilemiş, dünya görüşüm üzerinde etkili olmuştur. Okula geldiğinizde kesinlikle tanışın. Çok şanslı hissediyorum onun öğrencisi olduğum için. Dersi akıcı ve zevkli geçer.",1.0
Biyoloji,lise,2.08,2.2,1.4,1.8,2.2,2.8,"Dersi tamamen kendi gayretinizle anlarsınız. Sözlüsü bol, yazılısı zordur. Dersi size anlattırabilir. Türkçe'yi çok entel dantel halinde konuşmaya çalışır ama beceremez. Sevecen bir insan ama dersi anlamıyor olursunuz.",0.0
Coğrafya,lise,3.8,3,3.33,4,4.33,4.33,"Kitapla paralel giderken not da tutturur. Sözlüsü gayet iyidir. Derste konuşulmasından asla hoşlanmaz. Sınıf listesinden öğrenci seçer ve soru sorar. Sınavlarının biri kolay, biri zor olur. Baba görünümünde iyi esprili bir hocadır. Kenya diye söylediği ile Konya'yı kasteder. Şeker aldırmayı sever.",1.0
Matematik,lise,5.0,5,5,5,5,5,"Yeni geldi ama sevdirdi kendini. Dersi gayet iyi anlatır. Saygısızlığa tahammülü yoktur. Dersi dinleyen, katılan öğrenciyi sever. Sözlüyü hak ettiğiniz şekilde verir. Sizinle sanki bir arkadaşmışcasına eğlenceli sohbetler yapabilir. Espri anlayışı bir hayli iyidir. Mesajları incedir.",1.0
Felsefe,lise,4.4,2,5,5,5,5,Dilek Hoca sizinle çok iyi iletişim kurabilir. Çok iyi niyetli bir insandır. Dersi arada bir sıkıcı geçebilir. Bu anlarda konuşursanız dahi sizi kibarca uyarır. Sınavı şaşırtıcı şekilde zordur.,1.0
Felsefe,lise,4.7,4,4.5,5,5,5,Çiler Hoca sizinle çok yakın arkadaş olabilir. Samimidir. Sizin yararınıza olan her konuda size destek olur. Dersi dinlemediğiniz takdirde ''anneanneme mi söylüyorum'' diye komik sözler söyler. Ve bunu her zaman kullanır. Ülkenin gelişmişliği konusunda uzun uzun sohbetler eder. Sevecen hoş birisidir.,1.0
Fizik,lise,4.4,3,5,5,4,5,"Bahriye hoca çok iyi samimi, kalbi temiz bir hocadır. Dersi iyi anlatır. Sınavla ilgili tüyolar verir. Sizinle sanki öğretmen öğrenci değilde iki arkadaşmışsınız gibi sohbet edebilir. Biz ona bilgisayar sınıfına baktığı için Hacker Bahriye derdik. Ama o şimdi ÜAL'den ayrıldı. Severdik be Bahriye Hoca.",1.0
Almanca,lise,4.05,3.75,4.25,4.25,4,4,"Ayser hoca dersi dinleyen her öğrenciyi sever. Dıştan sert görünür ama esprilidir de. Mizah anlayışı iyidir. Dersi anlarsınız. Sözlüyü derse olan gayretinize göre verir. Sınavları, ödevleri kolaydır. Derste sık sık soru sorar. Ters düşseniz bile size takmaz. İyi bir dil hocası.",1.0
Türk Dili ve Edebiyatı,lise,4.2,3.33,4.33,4.33,4.33,4.67,"Ayçin Hoca gayet neşeli, konuşkan, arkadaş canlısı bir hocadır. Lafını esirgemez. Sevecen bir hocadır. Her sorununuzu paylaşabilirsiniz onunla. Dersi gayet zevkli ve akıcı geçer. Deftere çok not tutturur. Örnekleme bol yapar. Sınavları orta derece zor, sözlüleri boldur.",1.0
Matematik,lise,3.7,3,3.5,4.5,3.25,4.25,"Aslı hoca dersi gayet anlayabileceğiniz şekilde anlatır. Ama bir konuyu defalarca anlatmayı sevmez. İyi örnekler çözer, güzel not tutturur. Sizinle iyi bir anne oğul ilişkisi de kurabilir. Ters düşerseniz lafını esirgemez. Sözlü notu sizin derse olan gayretinizle orantılıdır.",1.0
Mühendislik Fakültesi,üniversite,2.2,3,2,1,3,2,Ders vaktinden yarım saat geç gelir. Dersin yarısı genellikle yemek üzerine muhabbetle geçer. Anlaşılır olmayan slaytlar üzerinden çok faydalı olmayan ders anlatımı ve ardından derse yönelik aslında kolay olan ancak anlaşılmasında çekilen zorlukla bir ödev verilmesi ile geçen bir ders.,0.0
Mühendislik Fakültesi,üniversite,1.2,2,1,1,1,1,"Dönem boyunca kimin hazırladığını bilmediğimiz kodları usbsinde getirip çalıştırıyor. İki yıldır bu dersi alıyorum -tek satır c# kodu yazdığını görmedim- sınavda da bu kodları soruyor. Bilgisayar mühendisi yetiştiren bölümde kod yazmadan, dil öğrenmeden ezberleyen A'yla geçiyor. Hasan Temurtaş ""mühendislik ezberdir"" diyor.",0.0
Tarih,lise,5.0,5,5,5,5,5,"Başarılı olmayan öğrencilerindendim ve siz beni 2015 yılında 10-B sınıfında pamuk ipliğiyle tutmuştunuz erken ayrıldım okuldan fakat sizi hiç unutmadım. Atatürkçülüğünüz, öğrenciye anne gibi yaklaşımınız, içtenliğiniz.... Her şey için çok teşekkür ederim, hakkınızı helal edin... N. K.",1.0
Türk Dili ve Edebiyatı,lise,4.4,4,4,5,4,5,Sizi keşke liseye ilk başladığımda tanımış olsaydım. Siz benim ömrümde gördüğüm en iyi öğretmensiniz ve benim için değerlisiniz. Asla unutmayacağım. Çok teşekkür ederim hakkınızı helal edin öğretmenim. ESKİŞEHİR GMKAL.  N. K.,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,3.4,3,4,4,3,3,Ninni gibi ders anlatır. :),
İktisadi ve İdari Bilimler Fakültesi,üniversite,3.6,2,4,4,5,3,Sınavları felaket denecek kadar zordur. Kolay kolay kimsenin bugüne kadar geçtiği görülmemiştir. Üniversitede bağıl notu 41'dir fakat tutturabilen CB yada BB ihtimali çok yüksektir. Ders anlatımını sadece meslek lisesinden gelenler kolaylıkla anlayabilir.,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,4.4,4,5,4,4,5,Üniversitenin kral hocalarından biridir. Derste verdiği örnekler olayın çok rahat idrak edilmesini sağlıyor.,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,2.4,2,3,3,2,2,Sınavını iktisatı yuttuysanız geçersiniz. Hakkıyla çalışıp anlarsanız adamın derste anlattıklarını çok rahat anlarsınız.,0.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,4.0,5,5,3,3,4,"Trakya Üniversitesi'nde yöneylem araştırması semineri dersine giriyordu. Kişilik olarak çok kral bir adam fakat ders ve notlar konusunda felaket üşengeç. Ders konusunu açın google'a yazın, hocanın derste işlediği notların virgülüne kadar aynısını bulursunuz. :D",1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,3.2,3,2,1,5,5,Çok yardımsever bir kadın. Zamanı varsa seni dinler.,
İktisadi ve İdari Bilimler Fakültesi,üniversite,2.4,2,3,3,2,2,Fazlasıyla egoludur.,0.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,4.0,2.5,3.5,4,5,5,Adam gibi adamdır kendisi. O üniversitede başka adam kolay kolay bulamazsınız.,1.0
Matematik,lise,1.4,1,1,2,2,1,Hocam keşke geçirseydiniz.,0.0
Muhasebe ve Finansman,lise,5.0,5,5,5,5,5,"Dersine hakim, konuyu çok iyi anlatıyor, disiplinli, derslerine titiz hiç aksatmaz, vakit nakittir onun için. Allah razı olsun hocam sizden.",1.0
Mühendislik Fakültesi,üniversite,4.36,3.63,4.49,4.65,4.41,4.63,Programlamanın temeline inmek isteyenlere birebir bir ders. Dersi eğlenceli kılan bir hoca ve eğlenceli bir ders. Özellikle devre çizimleri ve kısaltmalarıyla.,1.0
Matematik,lise,3.6,4,2,4,4,4,Esin Hoca iyidir. Siz yazılıdan düşük alsanız bile yüksek verip sözlüyle sizi geçirir.,1.0
Fizik,lise,1.2,1,1,2,1,1,Boşuna not dilenmeyin.,0.0
İngilizce,lise,1.0,1,1,1,1,1,Size sözlünüze çok düşük verme ihtimali çok yüksek. Arkadaşım bu hoca yüzünden teşekkürü 1 puanla kaçırdı.,0.0
İngilizce,lise,4.6,3,5,5,5,5,"En sevgili, en biricik hocam. Kendi halinde, saf, temiz kalpli, sessiz sakin ve bir o kadar da disiplinli tam bir öğretmen. Sevgiler, saygılar hocam.",1.0
Kimya,lise,4.0,3,5,5,4,3,Alanında çok iyi bir hoca.,1.0
Fizik,lise,1.0,1,1,1,1,1,Liseden mezun olalı yıllar geçti ama Seçil Ebil ismi hala aklımda. Fizikten nefret etmek istiyorsanız çok doğru bir isim. Öğrenciyle diyaloğu ise sıfırdır.,0.0
Edebiyat Fakültesi,üniversite,4.7,4.5,5,5,4.5,4.5,"Tarih öğrencisi değilim, seçmeli olarak bu dersi alıyorum. Her hafta düzenli olarak gelip ders anlatan ve bunu güzel bir şekilde yapan bir hoca. Denizcilik Tarihi dersinde bu kadar şey öğreneceğim (denizcilik dışında da) ve bu kadar keyif alacağım aklıma gelmezdi.",1.0
Edebiyat Fakültesi,üniversite,2.2,3,3,2,2,1,Daha verimli ders işlenebilir.,0.0
Fizik,lise,1.4,3,1,1,1,1,"Ne derse hakim, ne iyi anlatıyor. Bir de AAAL'de hoca olacak.",0.0
Biyoloji,lise,4.2,3,4.5,4.5,4.5,4.5,Kendisi derse hakimdir. Gayet iyi anlatır ve çok da sevecen biridir.,1.0
Resim,lise,4.6,3,5,5,5,5,Tecrübe!,1.0
Türk Dili ve Edebiyatı,lise,4.6,3,5,5,5,5,"Her yıl müfredatı, konuları daima tamamlayan, dersini daima düzenli işleyen, iyi bir öğretmendir.",1.0
Türk Dili ve Edebiyatı,lise,4.6,3,5,5,5,5,"İdealist, çalışkan, dersi çok iyi anlatan, bilgisi tam ve sağlam, yardımsever, güleryüzlü, her öğrencinin çok sevdiği, harika bir insandır kendisi.",1.0
Hukuk Fakültesi,üniversite,4.31,3.39,4.63,4.56,4.45,4.52,Yorulmadan ders anlatan hocalardan. Verdiği örneklerle konuyu ilgi çekici hale getirip akılda kalmasını sağlıyor. Öğrencinin halinden de anlıyor. Slaytlarını paylaşması derse çalışmayı kolaylaştırıyor. Tanık olduğumuz hukuksuz olaylara da derslerde değinmesi önemli ve güzel bir ayrıntı.,1.0
Mühendislik Mimarlık Fakültesi,üniversite,3.4,2.33,3.67,3.67,3.67,3.67,"Bölümümüzün hem donanımsal hemde karakter olarak en başarılı hocalarındandır. Derslerinde anlatılanların teoride kalmaması için uygulamalar yaptırıp ''dolu mühendisler'' yetiştirmek istemektedir. Sınavları formül ezberletmek değil, dersi öğretmek amaçlıdır. Öğrenciye yaklaşımı çok sıcak ve saygılıdır.",
Bilişim Teknolojileri,lise,4.8,4,5,5,5,5,Kesinlikle iyi bir hoca.,1.0
Mühendislik Mimarlık Fakültesi,üniversite,3.4,2.33,3.67,3.67,3.67,3.67,Teknoloji kullanımını ders içerisinde en üst seviyeye çıkarır ve bunu derse en aktif biçimde yansıtır. İşini hakkını vererek yapmasından dolayı saygıyı sonuna kadar hakeden hocamıza hayırlı ve huzurlu uzun ömürler diliyorum.,
Müzik,lise,3.0,3,3,3,3,3,Hayatımda gördüğüm en egoist insan ve öğretmen.,
İngilizce,lise,2.2,2,2.5,1.5,2.5,2.5,Hayatınızda görüp görebileceğin en kötü öğretmen. Hiçbir şey öğrenmiyoruz. Öğretmenlik gibi kutsal bir mesleğe bu tarz bir insan yakışmıyor. İnsanlığını bilemem ama öğretmenlik yeteneğinin olmadığına şüphe yok. Kendini Normandiya Hanedanlığından William Rufus sanıyor.,0.0
Matematik,lise,3.6,4,4,3,3,4,Soruları çok hızlı geçiyor. Derste bir soruyu yarım saat düşünüyor. Sınavı çok zor yapıyor. Okurken de çok kıt not veriyor. Dünyaya matematik için gelmişiz gibi sürekli ödev veriyor ve quiz yapıyor. Soruları hep uzun yoldan çözüyor. Pratik zekası 0.,1.0
Türk Dili ve Edebiyatı,lise,4.8,4,5,5,5,5,5 puan verildi.,1.0
Matematik,lise,4.4,2,5,5,5,5,Tek kelimeyle mükemmel. Muazzamdır kendisi. Gördüğünüz en iyi hocadır.,1.0
Fen Edebiyat Fakültesi,üniversite,4.92,4.8,5,5,4.8,5,"Tijen Hoca öğrenci odaklı ders anlatımının yanı sıra kişiliğiyle akademisyenliği öğrencilerine sevdirmiş. Bölümde öğrencilerine samimi bir şekilde saygı duyması, onları gözlerini kocaman açıp ilgiyle dinlemesi ve gerçekten yardımcı olmasıyla bilinir. Çok kibar bir insan. Öğrencisi olarak çok seviyoruz.",1.0
Eğitim Fakültesi,üniversite,5.0,5,5,5,5,5,Kalitenin tavan yaptığı dersin hocasıdır. Sınavları çok kolay. Herkesin geçtiği dersin bu dönem anlatıcısıdır.,1.0
Eğitim Fakültesi,üniversite,3.0,3,3,3,3,3,Kendisi gerçek manasıyla tam bir öğreci dostudur. Fizik çok zor olmasına rağmen sınavları derste verdiği örnek ile bağlantılı. Öğrencinin başarılı olması için gayet nezih sorular soran hocadır. Sıkıntı olan durum ise ogrencilerin beleşci yaklaşımıdır. Bir fizik bu kadar kolay ve anlaşılır anlatılabilir.,
Eğitim Fakültesi,üniversite,3.6,4,3,3,4.33,3.67,Sorular biliniyor çünkü her sene aynı soruları soruyor. Bunun yanı sıra derste verdiği örnek ile sınav sorularının bağlantısını yapmak için 3. köprüyü dersinde yapmak gerekiyor. Yani derste anlatmadığını sınavda bekliyor. Genel olarak sıradan bir analitik dersi. Gecen sene çıkmış soruları öğrenin ve geçin.,1.0
Matematik,lise,4.6,4,5,5,4,5,"Matematiği sevdiren, neredeyse bütün soru tipini sınıfta çözen, öğrenmemiz için ödev veren, çok iyi bir matematik hocası.",1.0
Kimya,lise,4.2,3,5,5,3,5,Gerçekten kimyayı sevdiren bir öğretmen. Sınav sorusu kalitesi fen lisesi kadardır. Verdiği ödevleri teker teker kontrol edip yanlışı düzeltir.,1.0
İngilizce,lise,4.8,4,5,5,5,5,Türkiye'deki en iyi İngilizce öğretmenidir.,1.0
İngilizce,lise,5.0,5,5,5,5,5,Dünyanın en harika İngilizce öğretmeni❤.,1.0
Din Kültürü ve Ahlak Bilgisi,lise,4.8,4,5,5,5,5,"Emekli olmasıyla kendini çok özlettirmiş güzel bir insan. Bazen o samimi gülüşünü, ilginç esprilerini gerçekten çok aradığım oluyor. Derslerinden ve hayata bakış açısından çok şey öğrendim. Hakkı ödenemeyecek olan öğretmendi o. Bütün Frzal onu çok seviyor.",1.0
Türk Dili ve Edebiyatı,lise,4.4,3,5,4,5,5,"Böylesine mesleğinde duayen ve bir o kadar da ""entelektüel"" bir hocam olduğu için çok şanslıyım. Derslerini iple çekerdim. Mezun olunca özleyeceğim, güzel yürekli hocalarımdan biri de Erdoğan ekolüyle kalplerde yerini alan latifşinas kişilik: Erdoğan Erdoğan...",1.0
İngilizce,lise,4.4,5,4,4,5,4,Okulu sevmemin sebebidir.,1.0
Türk Dili ve Edebiyatı,lise,4.8,4,5,5,5,5,Bir tanedir Arzu Hoca.,1.0
Felsefe,lise,5.0,5,5,5,5,5,Hayatımda tanıdığım en mükemmel eğitimci.,1.0
Hukuk Fakültesi,üniversite,1.6,3,1,1,1,2,İyidir.,0.0
Matematik,lise,3.0,3,3,3,3,3,Çok kötü bir öğretmen. Eğer buraları kendisi okuyorsa duysun. siz sultan değilsiniz padişah değilsiniz. Ben ne yapmak istersem onu yaparım (dersi akışını bozmayacak şekilde).,
Eğitim Fakültesi,üniversite,4.4,5,4.5,3.5,4,5,Tek kelimeyle harika bir hocamız. :) Dersi mükemmel anlatıyor. Bana çok faydası olduğunu düşünüyorum. Belki herşey için çok geç ama ne olur diferansiyele siz girin. Yeter artık sesimizi duyun.,1.0
Eğitim Fakültesi,üniversite,3.67,1.67,3.33,4.33,4,5,"Yardımseverliği, bilgisi ve insanlığı tam not. Sınavlar anlaşılmaz ve zor. Çalıştım ve karşılığını alamadım. Bu kadar net. Bu yüzden kendisini seviyoruz. Allah razı olsun engin bilgilerini bizimle paylaştığı için ama pek sempati duyamıyoruz.",1.0
Eğitim Fakültesi,üniversite,3.6,4,3,3,4.33,3.67,"Hayranlık ve büyük sevgi, saygı duyuyorum. Sınavda zaman yetmiyor ancak sorunu kendimde buluyorum sonuç olarak. Başarılı yada başarısızım, bunun önemi yok. Dersten çok şey öğrendim. Hocamızın kanaat notuna önem verdiğini en iyi öğrenen ben oldum. Allah razı olsun. Allah kimsenin emeklerini boşa vermez.",1.0
Türk Dili ve Edebiyatı,lise,4.6,3,5,5,5,5,Ataköy Cumhuriyet Anadolu Lisesi 11. Sınıftayım ve sırf birkaç sene daha görebilmek için sınıfta kalmak bile istediğim muhteşem hoca.,1.0
Felsefe,lise,4.7,4,4.5,5,5,5,"Çok iyi bir hocadır. Her konuda akıl danışabilirsiniz. Tenefüslerde kendisini yakalayıp muhabbet etmelisiniz. Aklınıza takılan bütün sorulara cevap vermeye çalışır. Güleryüzlüdür. ""Az gelişmiş ülke çocuğu gibi davranmayın"" lafı meşhurdur. Genelde sınıfı güldüren bu sözü sık sık gülerek söyler.",1.0
Matematik,lise,3.8,3,4,4,3,5,"Ders anlatışını ve kendisini herkes sevmez. Zıtlaşılmadığı sürece sevimli ve sempatiktir. Tenefüslerde gidip muhabbet edebileceğiniz, tavsiye alabileceğiniz bir hocadır. Her sabah okulun yukarısındaki parkın - Cem Karaca Parkı- yanından geçer, okulda gördüğünüzde gülerek imalı sorular sorabilir. :)",1.0
Tarih,lise,1.6,1.5,1.5,2.5,1.5,1,"Derse geç kalmaz, kendisinden sonra gireni yok yazar. Not tutturmaz, kitaptan çizdirmez. Sınavlarda kelimesi kelimesine cevap ister, belki puan verir diye yazdığınız cevapların üstünü çizer. Sözlü notu kıttır. Eğer kalıyorsanız sözlüyle geçirmez, bırakır. Sunum yaptırır ve sunumda ezber ister.",0.0
Eğitim Fakültesi,üniversite,3.67,1.67,3.33,4.33,4,5,Bölümde en çok kişinin kaldığı derslerin hocası. Fakat kimse hocayı sorumlu tutmaz. Ayrıca Bilal Hoca'yı sevmiyorum diyen bir öğrenci duymadım 4 yıl boyunca.,1.0
Tarih,lise,4.0,1,5,5,4,5,Ağzını ayırıp yorum atma siteye. :) :D,1.0
Biyoloji,lise,3.7,3,4,3.5,4,4,Tarihin en ilginç hocası.,1.0
Matematik,lise,1.0,1,1,1,1,1,Hakkımı helal etmiyorum.,0.0
Matematik,lise,2.0,1,3,4,1,1,Yorum yok.,0.0
Müzik,lise,5.0,5,5,5,5,5,Benim tanıdığım en muhteşem insan ve öğretmen.,1.0
Eğitim Fakültesi,üniversite,3.6,4,3,3,4.33,3.67,Sınavlar bilgiyi ölçmeye yönelik değil. Sınav sorularını herkes biliyor ama süre yetmiyor. Hızlı çözelim derken işlem hatası yapılıyor. İşlemlerin sonucuna değilde gidiş yoluna bakılması gerekir bence.,1.0
Eğitim Fakültesi,üniversite,3.67,1.67,3.33,4.33,4,5,Zirvedekiler yalnızdır. Matematiğin zirvesinde olduğu da kolayca görünüyor. :),1.0
Eğitim Fakültesi,üniversite,4.4,5,4.5,3.5,4,5,"9 haftada 3 sayfa, 3 haftada 90 sayfa ders anlatan adam gibi adam. :)",1.0
Coğrafya,lise,2.0,5,1,1,1,2,"Hiç iyi anlatamıyor, anca komiklik yapmaya çalışıyor.",0.0
İngilizce,lise,3.6,5,4,4,2,3,Sert görünümlü ancak yumuşak bir öğretmen.,1.0
İngilizce,lise,4.6,3,5,5,5,5,The best English teacher.,1.0
Matematik,lise,5.0,5,5,5,5,5,1982-83 yıllarında Yozgat Endüstri Meslek Lisesi'nden öğrenciniz olduğumu düşünüyorum. ALİ KILIÇ,1.0
Felsefe,lise,1.0,1,1,1,1,1,Puan konusunda bu kadar önemsiz bir ders ancak bu kadar ulaşılmaz yapılabilir.,0.0
Biyoloji,lise,4.8,4,5,5,5,5,Allah razı olsun hocam. Biyolojinin yarısını sizin sayenizde öğrendim.,1.0
Fen-Edebiyat Fakültesi,üniversite,5.0,5,5,5,5,5,Dersi almadan önce dersi bir canavar veriyor sanıyorduk. Yorumlar çok kötüydü ancak yorumların tersine yardımsever ve birikimli bir hoca. Dönem boyunca her hafta hiçbir kaynağa bakmadan 3 saat ders anlattı. Seçmeli dersini de alacağım. Kesinlikle öneririm.,1.0
İktisadi ve İdari Bilimler Fakültesi,üniversite,3.53,3.33,3.67,3.33,3.67,3.67,Bu dersi artık vermiyor ancak ekonometri 1 ve 2'yi veriyor. Tanıdığım en donanımlı hoca ve aynı zamanda çok iyi bir insandır. Bölüm başkan yardımcısı olup sorumluluğu artmıştır ancak öğrencilerine ayırdığı zaman aynı.,1.0
Yabancı Diller Yüksekokulu,üniversite,4.6,4,5,5,4,5,Hayatım boyunca edindiğim en iyi hocalardan biri. Çok iyi ders anlatır . Karşısındaki ile abi kardeş gibidir. Duruma göre karşısındaki kişiye her türlü yardımı yapar. Sınav sorularını tahmin eder ve genelde onlar çıkar. Sümer Hoca'dan ders alıyorsanız çok şanslısınız. Arada gaz verip sizi heveslendirir.,1.0
Sosyal Bilimler Meslek Yüksekokulu,üniversite,1.89,1.54,1.85,1.85,1.92,2.31,"Duyduklarıma üzüldüm. Gecenin 1'inde size cevap veren, sorumun çözümünü atan, ders ortamında diğer eğitmenlere göre çok kalitelidir ve şuvan yrd. doc. dr. oldu. Boş biri olsaydı buraya kadar gelmezdi. Tam bir eğitmen. Her şeyi ince detayına kadar anlatır. Sadece sınıf değil, uygulmalı ortama da götüren.",0.0
Eğitim Fakültesi,üniversite,4.8,5,5,4,5,5,"Çok değer verdiğim, Atatürkçü hocam.",1.0
Fen Edebiyat Fakültesi,üniversite,4.1,2.5,5,5,3.5,4.5,Zümrüt hoca candır. :) Bölümde işlediği dersin hakkını veren yegane hocalardan biridir. Dersi dinleyip düzenli not tutarsanız çok rahat geçersiniz. Benim hiç şaşmadan AA aldığım bir dersimdir. Zümrüt Hoca'dan sorun yaşamazsınız fakat kolay dersleri var demiyorum. Sizin de çabalamanız gereken derslerdir.,1.0
Fizik,lise,5.0,5,5,5,5,5,Türkiye'nin en iyi fizik hocalarından biri demem gerekir ama ben hocası demek istiyorum. Böyle bir insanın var olduğuna görmesem inanmam. Teşekkürlerimiz sonsuz hocam size.,1.0
Fen-Edebiyat Fakültesi,üniversite,4.0,4,4,4,3,5,Kendisi öncelikle çok iyi bir insan. Derste çözdüğü sorular üzerinden çalışırsanız asla sıkıntı yaşamazsınız.,1.0
Fen-Edebiyat Fakültesi,üniversite,4.4,4,5,5,4,4,Oldukça kaliteli ve tecrübeli bir hocadır. Dersini iyi takip ederseniz ve ilginizi hocaya gösterirseniz asla sıkıntı yaşamazsınız.,1.0
Fen-Edebiyat Fakültesi,üniversite,1.4,2,1,1,2,1,Notlama sistemi hiç adil değil. Yeditepe Üniversitesi'ne yakışmayan bir hoca.,0.0
